property_price,property_location,beds,baths,receptions,area_sq_ft
"£4,500 pcm","Cedar Drive, Pinner HA5",4 beds,4 baths,1 reception,NA
"£2,275 pcm","Neckinger Estate, London SE16",2 beds,1 bath,1 reception,631 sq. ft
"£3,900 pcm","Marsh Wall, Landmark Pinnacle E14",2 beds,2 baths,1 reception,NA
£925 pcm,"Saxon Road, Southall UB1",1 bed,1 bath,NA,NA
"£1,650 pcm","Brighton Road, Coulsdon CR5",2 beds,1 bath,1 reception,839 sq. ft
£925 pcm,"Alexandra Road, Mitcham CR4",1 bed,1 bath,NA,NA
"£3,792 pcm","Grove End Road, London NW8",2 beds,2 baths,1 reception,915 sq. ft
"£6,000 pcm","Keybridge House, 6 Exchange Gardens, Vauxhall SW8",3 beds,3 baths,1 reception,1400 sq. ft
"£1,795 pcm","120 The Avenue, Wembley HA9",2 beds,2 baths,1 reception,786 sq. ft
"£2,700 pcm","Hillside Road, Cheam, Sutton, Surrey SM2",4 beds,1 bath,3 receptions,NA
"£1,850 pcm","Grant Court, Spencer Hill, Wimbledon, London SW19",1 bed,1 bath,1 reception,NA
"£1,450 pcm","Metro House, Pinner Road, Northwood HA6",1 bed,1 bath,1 reception,NA
"£13,498 pcm","Wolfe House, 389 Kensington High Street W14",2 beds,3 baths,1 reception,NA
"£2,350 pcm","Southwold Road, London E5",2 beds,1 bath,NA,NA
"£2,600 pcm","Gough Walk, London E14",3 beds,1 bath,1 reception,NA
"£1,045 pcm","Parklands Parade, Bath Road, Hounslow TW5",1 bed,1 bath,NA,NA
"£1,200 pcm","Antigallican, Charlton Church Lane, London SE7",1 bath,NA,NA,NA
"£1,900 pcm","Leathermarket Court, London SE1",1 bed,1 bath,1 reception,NA
"£3,500 pcm","Wood Lane, London W12",2 beds,2 baths,793 sq. ft,NA
"£3,000 pcm","Greensward House, Imperial Crescent SW6",2 beds,2 baths,1 reception,NA
"£4,767 pcm","Greensward House, Imperial Crescent SW6",2 beds,2 baths,1 reception,NA
"£2,860 pcm","The Landmark, 22 Marsh Wall, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£2,708 pcm","Amory Tower, The Madison, 203 Marsh Wall, Canary Wharf, London E14",1 bed,1 bath,1 reception,NA
"£2,015 pcm","Canary Central, Cassilis Road, Canary Wharf, London E14",1 bed,1 bath,1 reception,NA
"£2,817 pcm","Pan Peninsula, 3 Pan Peninsula Square, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£2,448 pcm","Arena Tower, 20 Crossharbour Plaza, Canary Wharf, London E14",1 bed,1 bath,1 reception,NA
"£2,900 pcm","Watermans Quay, Fulham SW6",2 beds,2 baths,1 reception,NA
"£1,993 pcm","Pan Peninsula, 3 Pan Peninsula Square, Canary Wharf, London E14",1 bath,1 reception,NA,NA
"£3,792 pcm","Casson Square, London SE1",1 bed,1 bath,1 reception,NA
"£3,980 pcm","Bayswater, London W2",2 beds,3 baths,721 sq. ft,NA
"£2,427 pcm","Sherrington Court, Hallsville Quarter, Canning Town E16",2 beds,2 baths,1 reception,NA
"£1,993 pcm","Pan Peninsula, 3 Pan Peninsula Square, Canary Wharf, London E14",1 bath,1 reception,NA,NA
"£3,315 pcm","Aspen At Consort Place, 50 Marsh Wall, Canary Wharf, London E22",2 beds,2 baths,1 reception,NA
"£3,445 pcm","Aspen At Consort Place, 50 Marsh Wall, Canary Wharf, London E22",2 beds,2 baths,1 reception,NA
"£3,575 pcm","Aspen At Consort Place, 50 Marsh Wall, Canary Wharf, London E22",2 beds,2 baths,1 reception,NA
"£4,008 pcm","Landmark Pinnacle, Marsh Wall, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£4,333 pcm","Baltimore Wharf, North Boulevard, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£2,925 pcm","Lincoln Plaza, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£2,730 pcm","Pan Peninsula, 3 Pan Peninsula Square, Canary Wharf, London E14",2 beds,2 baths,1 reception,NA
"£1,387 pcm","Landsdowne Road, Croydon, London CR0",1 bed,1 bath,1 reception,NA
"£1,820 pcm","Cherry Orchard Road, Croydon, London CR0",2 beds,2 baths,1 reception,NA
"£1,733 pcm","Victory Parade, Woolwich, London SE18",1 bed,1 bath,1 reception,NA
"£2,800 pcm","Sayer Street, Elephant &amp; Castle, London SE17",2 beds,1 bath,1 reception,NA
"£2,376 pcm","Heygate Street, Elephant &amp; Castle, London SE17",1 bed,1 bath,1 reception,NA
"£4,550 pcm","Heygate Street, Elephant Park, Elephant &amp; Castle, London SE17",3 beds,2 baths,1 reception,NA
"£2,513 pcm","Deacon Street, Elephant &amp; Castle, London SE17",1 bed,1 bath,1 reception,NA
"£2,578 pcm","Heygate Street, Elephant &amp; Castle, London SE17",1 bed,1 bath,1 reception,NA
"£3,012 pcm","Bolander Grove, Hammersmith, London SW6",1 bed,1 bath,1 reception,NA
"£3,293 pcm","Deacon Street, Elephant &amp; Castle, London SE17",2 beds,2 baths,1 reception,NA
"£3,250 pcm","Walworth Road, Elephant &amp; Castle, London SE17",2 beds,2 baths,1 reception,NA
"£2,470 pcm","Rodney Road, Elephant &amp; Castle, London SE17",1 bed,1 bath,1 reception,NA
"£3,400 pcm","Saunders Ness Road, Isle Of Dogs, London E14",4 beds,3 baths,1 reception,NA
"£2,600 pcm","Royal Eden Dock, 11 Seagull Lane, Royal Docks, London E16",2 beds,2 baths,1 reception,NA
"£2,405 pcm","Isle Of Dogs, London E14",2 beds,2 baths,1 reception,NA
"£2,427 pcm","Western Gateway, Royal Docks, London E16",2 beds,2 baths,1 reception,NA
"£2,080 pcm","Dalston Square, Hackney, London E8",1 bed,1 bath,1 reception,NA
"£32,067 pcm","Welbeck Street, Marylebone, London W1G",1 bed,1 bath,1 reception,NA
"£4,545 pcm","Austin Waye, Cowley, Uxbridge UB8",6 beds,6 baths,1 reception,NA
"£2,100 pcm","Heritage Avenue, Colindale NW9",2 beds,2 baths,1 reception,NA
"£2,708 pcm","Leman Street, Aldgate, London E1",1 bed,1 bath,1 reception,NA
"£4,117 pcm","Eastcastle Street, Fitzrovia, London W1W",2 beds,2 baths,1 reception,NA
"£1,733 pcm","Beaufort Square, Colindale, London NW9",1 bed,1 bath,1 reception,NA
"£4,983 pcm","Leman Street, Aldgate, London E1",3 beds,3 baths,1 reception,NA
"£1,950 pcm","5 Cobblestone Square, Wapping, London E1W",1 bath,1 reception,NA,NA
"£1,595 pcm","Elderwood Place, London SE27",1 bed,1 bath,1 reception,NA
"£2,167 pcm","Colindale Gardens, 6 Lismore Boulevard, Colindale, London NW9",2 beds,2 baths,1 reception,NA
"£11,999 pcm","Clement House, 190 Strand, London WC2R",3 beds,3 baths,1 reception,1989 sq. ft
"£8,017 pcm","Babmaes Street, St James's, London SW1Y",2 beds,2 baths,1 reception,796 sq. ft
"£4,250 pcm","Abbey Road EN1, Enfield,",5 beds,3 baths,2 receptions,3013 sq. ft
"£1,300 pcm","Inglis Road, Addiscombe, Croydon CR0",1 bed,1 bath,1 reception,NA
"£1,595 pcm","Kent Gardens, London W13",2 beds,1 bath,1 reception,NA
"£1,675 pcm","Willesden Lane, Brondesbury, London NW2",301 sq. ft,NA,NA,NA
