property_price,property_location,beds,baths,receptions,area_sq_ft
"£2,817 pcm","Craven Hill Gardens, London W2",2 beds,1 bath,1 reception,NA
"£6,650 pcm","Legacy Building, Embassy Gardens, London SW11",3 beds,2 baths,1 reception,NA
"£1,400 pcm","South Norwood Hill, London SE25",1 bed,1 bath,1 reception,NA
"£5,633 pcm","Sydney Mews, London SW3",3 beds,3 baths,1 reception,1645 sq. ft
"£2,513 pcm","The Power House, Chiswick, Chiswick W4",2 beds,1 bath,1 reception,NA
"£2,383 pcm","Heathfield Court, Chiswick, Chiswick W4",2 beds,1 bath,1 reception,NA
"£3,462 pcm","Montgomery Road, Chiswick, Chiswick W4",3 beds,1 bath,2 receptions,NA
"£1,650 pcm","Bembridge Gardens, Ruislip HA4",2 beds,1 bath,1 reception,NA
"£2,747 pcm","Belgrave Court, Chiswick, Chiswick W4",2 beds,2 baths,1 reception,NA
"£3,896 pcm","Thames Crescent, Chiswick, Chiswick W4",3 beds,2 baths,1 reception,NA
"£1,570 pcm","Regents Bridge Gardens, London SW8",1 bed,1 bath,1 reception,NA
"£1,025 pcm","Birch Tree Way, Croydon, Surrey CR0",1 bath,NA,NA,NA
"£5,500 pcm","6 York Road, Battersea, London SW11",3 beds,2 baths,1 reception,1021 sq. ft
"£2,487 pcm","Kingsland Road, London E2",1 bed,NA,NA,NA
"£1,898 pcm","Broadhurst Gardens, London NW6",2 beds,NA,NA,NA
"£2,250 pcm","St. Martin's Avenue, London E6",3 beds,1 bath,2 receptions,NA
"£2,000 pcm","Sotheby Road, London N5",1 bed,1 bath,1 reception,693 sq. ft
"£1,993 pcm","Hackney Road, London E2",1 bed,1 bath,1 reception,388 sq. ft
"£2,895 pcm","Porchester Place, London W2",2 beds,2 baths,1 reception,NA
"£1,798 pcm","Holyrood Road, Barnet, New Barnet EN5",2 beds,2 baths,1 reception,NA
"£2,200 pcm","Morecambe Close, Hornchurch RM12",3 beds,1 bath,1 reception,NA
"£2,450 pcm","York Place, Coda Residences SW11",1 bed,1 bath,1 reception,567 sq. ft
"£4,999 pcm","Somerset Road, London SW19",5 beds,3 baths,1 reception,NA
"£1,950 pcm","River Gardens Walk, London SE10",1 bed,1 bath,1 reception,NA
"£1,900 pcm","Broad Lane, London N15",2 beds,1 bath,1 reception,NA
"£1,450 pcm","Stockton Road, Edmonton N18",1 bed,1 bath,1 reception,NA
"£2,200 pcm","Rockmount Road, London SE19",2 beds,2 baths,1 reception,NA
"£1,300 pcm","Anerley Road, London, Greater London SE20",1 bed,1 bath,1 reception,NA
"£17,528 pcm","Duke Street, Mayfair W1K",2 beds,2 baths,1 reception,1728 sq. ft
"£3,000 pcm","Chestnut Road, London SW20",3 beds,2 baths,1 reception,NA
"£4,290 pcm","Thornes House, Nine Elms, London SW11",2 beds,2 baths,1 reception,886 sq. ft
