property_price,property_location,beds,baths,receptions,area_sq_ft
"£10,000 pcm","Marloes Road, London W8",4 beds,3 baths,2 receptions,NA
"£2,200 pcm","Lithos Road, London NW3",2 beds,2 baths,1 reception,NA
"£2,100 pcm","Newton Lodge, West Parkside, London SE10",2 beds,2 baths,1 reception,NA
"£2,078 pcm","Park Lane, Wembley HA9",2 beds,2 receptions,NA,NA
"£1,990 pcm","Ealing, 4Au, UK UB2",2 beds,2 receptions,NA,NA
"£1,845 pcm","Park Lane, Wembley HA9",1 bed,1 reception,NA,NA
"£2,721 pcm","Park Lane, Wembley HA9",3 beds,3 receptions,NA,NA
"£1,565 pcm","Ealing, 4Au, UK UB2",1 bed,1 reception,NA,NA
"£1,820 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£1,600 pcm","Parkside Avenue, Bexleyheath, Kent DA7",2 beds,1 bath,1 reception,NA
"£2,540 pcm","Knightsbridge, London SW1X",2 baths,382 sq. ft,NA,NA
"£4,640 pcm","Clerkenwell, London EC1V",2 beds,2 baths,907 sq. ft,NA
"£3,033 pcm","Pavilion Apartments, St John's Wood Road, St John's Wood, London NW8",1 bed,1 bath,1 reception,795 sq. ft
"£1,550 pcm","Pioneer Market, Winston Way, Ilford IG1",1 bed,1 reception,NA,NA
"£1,900 pcm","Enderby Wharf, Telegraph Avenue, Greenwich SE10",1 bed,1 bath,1 reception,NA
"£1,350 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£1,375 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£2,800 pcm","Westminster, 5Qt, UK W2",1 bed,1 reception,NA,NA
"£2,200 pcm","Westminster, 5Qt, UK W2",1 bed,1 reception,NA,NA
"£1,590 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£2,920 pcm","Hammersmith, London W6",1 bed,1 bath,589 sq. ft,NA
"£1,625 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£1,950 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£1,350 pcm","Queens Drive, London N4",1 bed,1 reception,NA,NA
"£1,400 pcm","Queens Drive, London N4",1 bed,1 reception,NA,NA
"£1,525 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£1,910 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£1,910 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£3,000 pcm","Holloway Road, London N19",3 beds,2 baths,1 reception,NA
"£3,750 pcm","West One House, Fitzrovia W1T",2 beds,2 baths,1 reception,NA
"£1,928 pcm","Agar Grove, Camden NW1",1 bed,1 bath,1 reception,549 sq. ft
"£2,900 pcm","Westminster, 5Qt, UK W2",1 bed,1 reception,NA,NA
"£1,998 pcm","Pioneer Market, Winston Way, Ilford IG1",2 beds,2 receptions,NA,NA
"£2,700 pcm","Howick Place, London SW1P",1 bed,1 bath,1 reception,530 sq. ft
"£2,720 pcm","South Kensington, London SW7",1 bath,319 sq. ft,NA,NA
